,SName,DName,CName,Enroll12,NumTstTakr,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,NumGE21,PctGE21,Year,Unnamed: 17
0,21st Century Learning Institute,Beaumont Unified,Riverside,18.0,0.0,,,,,,,2018-19,
1,ABC Secondary (Alternative),ABC Unified,Los Angeles,58.0,0.0,,,,,,,2018-19,
2,Abraham Lincoln Alternative,Southern Kern Unified,Kern,18.0,0.0,,,,,,,2018-19,
3,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,53.0,23.0,22.0,22.0,23.0,34,64.15,2018-19,
4,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226.0,19.0,21.0,20.0,23.0,22.0,11,57.89,2018-19,
5,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,15.0,15.0,17.0,16.0,3,9.09,2018-19,
6,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126.0,16.0,18.0,18.0,18.0,17.0,5,31.25,2018-19,
7,Academies of the Antelope Valley,Antelope Valley Union High,Los Angeles,14.0,1.0,,,,,*,*,2018-19,
8,Academy (The)- SF @McAteer,San Francisco Unified,San Francisco,84.0,9.0,,,,,*,*,2018-19,
9,Academy for Academic Excellence,Apple Valley Unified,San Bernardino,97.0,13.0,,,,,*,*,2018-19,
10,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,141.0,10.0,,,,,*,*,2018-19,
11,Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63.0,5.0,,,,,*,*,2018-19,
12,Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,126.0,14.0,,,,,*,*,2018-19,
13,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,29.0,29.0,25.0,25.0,34,94.44,2018-19,
14,Academy of the Redwoods,Fortuna Union High,Humboldt,47.0,6.0,,,,,*,*,2018-19,
15,Acalanes Center for Independent Study,Acalanes Union High,Contra Costa,19.0,2.0,,,,,*,*,2018-19,
