,State,Participation,Evidence-Based Reading and Writing,Math,Total
0,Alabama,6.0,595.0,571.0,1166.0
1,Alaska,43.0,562.0,544.0,1106.0
2,Arizona,29.0,577.0,572.0,1149.0
3,Arkansas,5.0,592.0,576.0,1169.0
4,California,60.0,540.0,536.0,1076.0
5,Colorado,100.0,519.0,506.0,1025.0
6,Connecticut,100.0,535.0,519.0,1053.0
7,Delaware,100.0,505.0,492.0,998.0
8,District of Columbia,92.0,497.0,480.0,977.0
9,Florida,56.0,550.0,549.0,1099.0
10,Georgia,70.0,542.0,522.0,1064.0
11,Hawaii,56.0,480.0,530.0,1010.0
12,Idaho,100.0,508.0,493.0,1001.0
13,Illinois,99.0,513.0,506.0,1019.0
14,Indiana,63.0,542.0,532.0,1074.0
15,Iowa,3.0,634.0,631.0,1265.0
16,Kansas,4.0,633.0,631.0,1265.0
17,Kentucky,4.0,630.0,618.0,1248.0
18,Louisiana,4.0,615.0,595.0,1210.0
19,Maine,99.0,512.0,501.0,1013.0
20,Maryland,76.0,545.0,535.0,1080.0
21,Massachusetts,80.0,562.0,563.0,1125.0
22,Michigan,100.0,511.0,499.0,1011.0
23,Minnesota,4.0,643.0,655.0,1298.0
24,Mississippi,3.0,630.0,606.0,1236.0
25,Missouri,4.0,633.0,629.0,1262.0
26,Montana,10.0,606.0,592.0,1198.0
27,Nebraska,3.0,629.0,623.0,1252.0
28,Nevada,23.0,574.0,566.0,1140.0
29,New Hampshire,96.0,535.0,528.0,1063.0
30,New Jersey,82.0,547.0,547.0,1094.0
31,New Mexico,16.0,552.0,540.0,1093.0
32,New York,79.0,534.0,534.0,1068.0
33,North Carolina,52.0,554.0,543.0,1098.0
34,North Dakota,2.0,640.0,643.0,1283.0
35,Oklahoma,8.0,541.0,521.0,1062.0
36,Ohio,18.0,552.0,547.0,1099.0
37,Oregon,48.0,564.0,553.0,1117.0
38,Pennsylvania,70.0,547.0,539.0,1086.0
39,Rhode Island,97.0,513.0,505.0,1018.0
40,South Carolina,55.0,547.0,523.0,1070.0
41,South Dakota,3.0,622.0,618.0,1240.0
42,Tennessee,6.0,624.0,607.0,1231.0
43,Texas,66.0,520.0,512.0,1032.0
44,Utah,4.0,480.0,530.0,1010.0
45,Vermont,64.0,565.0,554.0,1120.0
46,Virginia,68.0,567.0,550.0,1117.0
47,Washington,69.0,543.0,538.0,1081.0
48,West Virginia,28.0,513.0,486.0,999.0
49,Wisconsin,3.0,641.0,653.0,1294.0
50,Wyoming,3.0,633.0,625.0,1257.0
