,State,Participation,EBRW,Math,Total
0,Alabama,7.0,583.0,560.0,1143.0
1,Alaska,41.0,556.0,541.0,1097.0
2,Arizona,31.0,569.0,565.0,1134.0
3,Arkansas,6.0,582.0,559.0,1141.0
4,California,63.0,534.0,531.0,1065.0
5,Colorado,100.0,518.0,506.0,1024.0
6,Connecticut,100.0,529.0,516.0,1046.0
7,Delaware,100.0,499.0,486.0,985.0
8,District of Columbia,94.0,495.0,480.0,975.0
9,Florida,100.0,516.0,483.0,999.0
10,Georgia,71.0,538.0,519.0,1058.0
11,Hawaii,54.0,550.0,550.0,1100.0
12,Idaho,100.0,505.0,488.0,993.0
13,Illinois,100.0,509.0,504.0,1013.0
14,Indiana,66.0,543.0,537.0,1080.0
15,Iowa,3.0,622.0,622.0,1244.0
16,Kansas,4.0,618.0,623.0,1241.0
17,Kentucky,4.0,620.0,612.0,1232.0
18,Louisiana,5.0,610.0,591.0,1200.0
19,Maine,99.0,512.0,502.0,1013.0
20,Maryland,82.0,535.0,523.0,1058.0
21,Massachusetts,81.0,559.0,561.0,1120.0
22,Michigan,100.0,507.0,496.0,1003.0
23,Minnesota,4.0,636.0,648.0,1284.0
24,Mississippi,3.0,628.0,608.0,1237.0
25,Missouri,4.0,622.0,615.0,1236.0
26,Montana,9.0,603.0,596.0,1199.0
27,Nebraska,3.0,628.0,631.0,1260.0
28,Nevada,20.0,580.0,576.0,1156.0
29,New Hampshire,95.0,533.0,526.0,1059.0
30,New Jersey,82.0,544.0,545.0,1090.0
31,New Mexico,18.0,543.0,530.0,1073.0
32,New York,79.0,531.0,533.0,1064.0
33,North Carolina,51.0,554.0,546.0,1100.0
34,North Dakota,2.0,627.0,636.0,1263.0
35,Ohio,19.0,550.0,548.0,1097.0
36,Oklahoma,22.0,490.0,472.0,963.0
37,Oregon,51.0,562.0,550.0,1112.0
38,Pennsylvania,70.0,545.0,537.0,1082.0
40,Rhode Island,100.0,503.0,492.0,995.0
41,South Carolina,68.0,526.0,504.0,1030.0
42,South Dakota,3.0,633.0,635.0,1268.0
43,Tennessee,7.0,618.0,602.0,1220.0
44,Texas,68.0,515.0,507.0,1022.0
45,Utah,4.0,614.0,615.0,1230.0
46,Vermont,66.0,560.0,546.0,1106.0
48,Virginia,68.0,567.0,551.0,1119.0
49,Washington,70.0,539.0,535.0,1074.0
50,West Virginia,99.0,483.0,460.0,943.0
51,Wisconsin,3.0,635.0,648.0,1283.0
52,Wyoming,3.0,623.0,615.0,1238.0
